asin,reviewText,overall,category,summary
B000K2PJ4K,Great product and price!,5.0,AMAZON_FASHION_5,Five Stars
B000K2PJ4K,Waaay too small. Will use for futur children!,3.0,AMAZON_FASHION_5,Oops!
B000K2PJ4K,Stays vibrant after many washes,5.0,AMAZON_FASHION_5,Great
B000K2PJ4K,Stays vibrant after many washes,5.0,AMAZON_FASHION_5,Good
B000K2PJ4K,My son really likes the pink. Ones which I was nervous about,5.0,AMAZON_FASHION_5,Great
B000K2PJ4K,Waaay too small. Will use for future child.,3.0,AMAZON_FASHION_5,Oops!
B000KPIHQ4,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,2.0,AMAZON_FASHION_5,These were recommended by my Podiatrist
B000KPIHQ4,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",2.0,AMAZON_FASHION_5,Not the same as all my other pairs.
B000KPIHQ4,We have used these inserts for years.  They provide great support.,5.0,AMAZON_FASHION_5,Great inserts
B000KPIHQ4,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",5.0,AMAZON_FASHION_5,Personal favorite
B000KPIHQ4,Excellent insole with good support.,5.0,AMAZON_FASHION_5,Five Stars
B000KPIHQ4,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,5.0,AMAZON_FASHION_5,Great comfort!
B000KPIHQ4,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,5.0,AMAZON_FASHION_5,These insoles help my heel feels much better. I would never wear a pair of athletic ...
B000V0IBDM,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,2.0,AMAZON_FASHION_5,These were recommended by my Podiatrist
B000V0IBDM,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",2.0,AMAZON_FASHION_5,Not the same as all my other pairs.
B000V0IBDM,We have used these inserts for years.  They provide great support.,5.0,AMAZON_FASHION_5,Great inserts
B000V0IBDM,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",5.0,AMAZON_FASHION_5,Personal favorite
B000V0IBDM,Excellent insole with good support.,5.0,AMAZON_FASHION_5,Five Stars
B000V0IBDM,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,5.0,AMAZON_FASHION_5,Great comfort!
B000V0IBDM,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,5.0,AMAZON_FASHION_5,These insoles help my heel feels much better. I would never wear a pair of athletic ...
B000YFSR5G,Waaaay too BIG,1.0,AMAZON_FASHION_5,One Star
B000YFSR5G,Comfortable,5.0,AMAZON_FASHION_5,Five Stars
B000YFSR4W,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",4.0,AMAZON_FASHION_5,size runs big
B000YFSR5G,Good product for the price.  Used very day and no problem.,5.0,AMAZON_FASHION_5,Five Stars
B000YFSR5G,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,5.0,AMAZON_FASHION_5,Good fit
B000YFSR4W,Waaaay too BIG,1.0,AMAZON_FASHION_5,One Star
B000YFSR5G,Excellent value.  Comfortable.,5.0,AMAZON_FASHION_5,Excellent Product
B000YFSR5G,"Typical Hanes quality. Good weight, sized just right, made pretty well",5.0,AMAZON_FASHION_5,Typical Quality
